case_id,stored_dept,corrected_dept,confidence,county_dept,panel_dept,panel_used
2250452,,1,MED,1,,0
2250466,,2,MED,2,,0
2250537,,2,MED,2,,0
2252443,,1,MED,1,,0
2252465,,2,MED,2,,0
2252551,,1,MED,1,,0
2252563,,2,MED,2,,0
2252568,,1,MED,1,,0
2252705,,1,MED,1,,0
2252746,,2,MED,2,,0
2254154,,3,MED,3,,0
2254157,,4,MED,4,,0
2254169,,2,MED,2,,0
2254179,,2,MED,2,,0
2254184,,1,MED,1,,0
2254189,,2,MED,2,,0
2254194,,3,MED,3,,0
2254361,,1,MED,1,,0
2256305,,2,MED,2,,0
2256334,,2,MED,2,,0
2256441,,3,MED,3,,0
2256517,,4,MED,4,,0
2256528,,1,MED,1,,0
2256535,,1,MED,1,,0
2256711,,2,MED,2,,0
2256801,,2,MED,2,,0
2258362,,1,MED,1,,0
2258462,,3,MED,3,,0
2258469,,2,MED,2,,0
2258475,,4,MED,4,,0
2258541,,2,MED,2,,0
2258703,,2,MED,2,,0
2260402,,4,MED,4,,0
2260407,,1,MED,1,,0
2260408,,2,MED,2,,0
2260411,,2,MED,2,,0
2260415,,2,MED,2,,0
2260417,,1,MED,1,,0
2260437,,1,MED,1,,0
2260553,,1,MED,1,,0
2262478,,2,MED,2,,0
2262483,,1,MED,1,,0
2262496,,4,MED,4,,0
2262512,,2,MED,2,,0
2262532,,2,MED,2,,0
2262548,,2,MED,2,,0
2264509,,2,MED,2,,0
2264538,,2,MED,2,,0
2264558,,2,MED,2,,0
2264564,,2,MED,2,,0
2264591,,2,MED,2,,0
2264615,,2,MED,2,,0
2264616,,4,MED,4,,0
2264720,,3,MED,3,,0
2264737,,1,MED,1,,0
2264766,,4,MED,4,,0
2264833,,4,MED,4,,0
2267016,,1,MED,1,,0
2267086,,1,MED,1,,0
2267092,,2,MED,2,,0
2267168,,4,MED,4,,0
2268896,,2,MED,2,,0
2268898,,2,MED,2,,0
2268933,,2,MED,2,,0
2268973,,2,MED,2,,0
2268976,,1,MED,1,,0
2269023,,1,MED,1,,0
2269059,,1,MED,1,,0
2269071,,1,MED,1,,0
2269103,,2,MED,2,,0
2269124,,2,MED,2,,0
2269357,,1,MED,1,,0
2269362,,2,MED,2,,0
2271464,,1,MED,1,,0
2271474,,1,MED,1,,0
2271475,,1,MED,1,,0
2271479,,1,MED,1,,0
2271497,,1,MED,1,,0
2271500,,2,MED,2,,0
2271501,,2,MED,2,,0
2271522,,1,MED,1,,0
2271532,,1,MED,1,,0
2271539,,1,MED,1,,0
2271627,,3,MED,3,,0
2271638,,1,MED,1,,0
2271662,,1,MED,1,,0
2271725,,1,MED,1,,0
2271732,,1,MED,1,,0
2271741,,1,MED,1,,0
2271743,,1,MED,1,,0
2271761,,1,MED,1,,0
2271768,,1,MED,1,,0
2271796,,1,MED,1,,0
2271833,,1,MED,1,,0
2271855,,4,MED,4,,0
2271880,,2,MED,2,,0
2271923,,1,MED,1,,0
2271926,,2,MED,2,,0
2271939,,1,MED,1,,0
2271958,,2,MED,2,,0
2271960,,1,MED,1,,0
2273571,,1,MED,1,,0
2273573,,2,MED,2,,0
2273587,,1,MED,1,,0
2273655,,2,MED,2,,0
2273668,,2,MED,2,,0
2273681,,1,MED,1,,0
2273713,,2,MED,2,,0
2273756,,2,MED,2,,0
2273784,,2,MED,2,,0
2273837,,1,MED,1,,0
2273843,,2,MED,2,,0
2273874,,1,MED,1,,0
2273979,,2,MED,2,,0
2274013,,3,MED,3,,0
2274027,,3,MED,3,,0
2274087,,1,MED,1,,0
2274089,,3,MED,3,,0
2274113,,1,MED,1,,0
2274193,,2,MED,2,,0
2275422,,2,MED,2,,0
2275454,,1,MED,1,,0
2275467,,2,MED,2,,0
2275472,,2,MED,2,,0
2275510,,1,MED,1,,0
2275525,,2,MED,2,,0
2275533,,1,MED,1,,0
2275581,,1,MED,1,,0
2275610,,2,MED,2,,0
2275614,,2,MED,2,,0
2275646,,2,MED,2,,0
2275704,,1,MED,1,,0
2275714,,2,MED,2,,0
2275765,,3,MED,3,,0
2275851,,1,MED,1,,0
2275861,,2,MED,2,,0
2275960,,1,MED,1,,0
2275991,,1,MED,1,,0
2276031,,2,MED,2,,0
2276071,,2,MED,2,,0
2277939,,2,MED,2,,0
2277963,,1,MED,1,,0
2278027,,2,MED,2,,0
2278079,,2,MED,2,,0
2278090,,1,MED,1,,0
2278130,,2,MED,2,,0
2278173,,2,MED,2,,0
2278178,,1,MED,1,,0
2278180,,2,MED,2,,0
2278195,,1,MED,1,,0
2278294,,1,MED,1,,0
2278305,,1,MED,1,,0
2278312,,1,MED,1,,0
2278331,,1,MED,1,,0
2280570,,3,MED,3,,0
2280571,,2,MED,2,,0
2280576,,1,MED,1,,0
2280588,,2,MED,2,,0
2280627,,3,MED,3,,0
2280630,,3,MED,3,,0
2280635,,2,MED,2,,0
2280642,,1,MED,1,,0
2280644,,1,MED,1,,0
2280648,,2,MED,2,,0
2280670,,2,MED,2,,0
2280673,,1,MED,1,,0
2280683,,1,MED,1,,0
2280686,,2,MED,2,,0
2280709,,1,MED,1,,0
2280752,,1,MED,1,,0
2280753,,2,MED,2,,0
2280760,,2,MED,2,,0
2280761,,1,MED,1,,0
2280767,,2,MED,2,,0
2280810,,2,MED,2,,0
