case_id,stored_dept,corrected_dept,confidence,county_dept,panel_dept,panel_used
72148,,2,LOW,,2,1
72149,,2,LOW,,2,1
72150,,2,LOW,,2,1
72152,,2,LOW,,2,1
72154,,2,LOW,,2,1
72158,,2,LOW,,2,1
72159,,2,LOW,,2,1
72160,,2,LOW,,2,1
72165,,2,LOW,,2,1
72166,,2,LOW,,2,1
72172,,2,LOW,,2,1
72173,,2,LOW,,2,1
72174,,2,LOW,,2,1
72176,,2,LOW,,2,1
72178,,2,LOW,,2,1
72179,,2,LOW,,2,1
72180,,2,LOW,,2,1
72182,,2,LOW,,2,1
72184,,2,LOW,,2,1
72185,,2,LOW,,2,1
72186,,2,LOW,,2,1
72188,,2,LOW,,2,1
72189,,2,LOW,,2,1
72191,,2,LOW,,2,1
72194,,2,LOW,,2,1
72195,,2,LOW,,2,1
72197,,2,LOW,,2,1
72198,,2,LOW,,2,1
72201,,2,LOW,,2,1
72202,,2,LOW,,2,1
72204,,2,LOW,,2,1
72205,,2,LOW,,2,1
72215,,2,LOW,,2,1
72216,,2,LOW,,2,1
72218,,2,LOW,,2,1
72219,,2,LOW,,2,1
72220,,2,LOW,,2,1
72221,,2,LOW,,2,1
72222,,2,LOW,,2,1
72223,,2,LOW,,2,1
72225,,2,LOW,,2,1
72226,,2,LOW,,2,1
72228,,2,LOW,,2,1
72229,,2,LOW,,2,1
72230,,2,LOW,,2,1
72231,,2,LOW,,2,1
72235,,2,LOW,,2,1
72236,,2,LOW,,2,1
72238,,2,LOW,,2,1
72239,,2,LOW,,2,1
72241,,2,LOW,,2,1
72242,,2,LOW,,2,1
72243,,2,LOW,,2,1
72244,,2,LOW,,2,1
72246,,2,LOW,,2,1
72247,,2,LOW,,2,1
72250,,2,LOW,,2,1
72251,,2,LOW,,2,1
72252,,2,LOW,,2,1
72255,,2,LOW,,2,1
72256,,2,LOW,,2,1
72257,,2,LOW,,2,1
72261,,2,LOW,,2,1
72263,,2,LOW,,2,1
72264,,2,LOW,,2,1
72265,,2,LOW,,2,1
72268,,2,LOW,,2,1
72272,,2,LOW,,2,1
72273,,2,LOW,,2,1
72274,,2,LOW,,2,1
72275,,2,LOW,,2,1
72277,,2,LOW,,2,1
72280,,2,LOW,,2,1
72282,,2,LOW,,2,1
72283,,2,LOW,,2,1
72284,,2,LOW,,2,1
72285,,2,LOW,,2,1
74083,,2,LOW,,2,1
74085,,2,LOW,,2,1
74088,,2,LOW,,2,1
74093,,2,LOW,,2,1
74096,,2,LOW,,2,1
74097,,2,LOW,,2,1
74109,,2,LOW,,2,1
74110,,2,LOW,,2,1
74112,,2,LOW,,2,1
74120,,2,LOW,,2,1
74122,,2,LOW,,2,1
74127,,2,LOW,,2,1
74128,,2,LOW,,2,1
74133,,2,LOW,,2,1
74135,,2,LOW,,2,1
74136,,2,LOW,,2,1
74139,,2,LOW,,2,1
74147,,2,LOW,,2,1
74150,,2,LOW,,2,1
74152,,2,LOW,,2,1
74154,,2,LOW,,2,1
74155,,2,LOW,,2,1
74156,,2,LOW,,2,1
74160,,2,LOW,,2,1
74162,,2,LOW,,2,1
74166,,2,LOW,,2,1
74169,,2,LOW,,2,1
74180,,2,LOW,,2,1
74183,,2,LOW,,2,1
74184,,2,LOW,,2,1
74185,,2,LOW,,2,1
74186,,2,LOW,,2,1
74187,,2,LOW,,2,1
74188,,2,LOW,,2,1
74189,,2,LOW,,2,1
74192,,2,LOW,,2,1
74195,,2,LOW,,2,1
74198,,2,LOW,,2,1
74199,,2,LOW,,2,1
74201,,2,LOW,,2,1
74202,,2,LOW,,2,1
74203,,2,LOW,,2,1
74206,,2,LOW,,2,1
74207,,2,LOW,,2,1
74208,,2,LOW,,2,1
74215,,2,LOW,,2,1
74216,,2,LOW,,2,1
74217,,2,LOW,,2,1
74218,,2,LOW,,2,1
74219,,2,LOW,,2,1
74222,,2,LOW,,2,1
74226,,2,LOW,,2,1
74227,,2,LOW,,2,1
74228,,2,LOW,,2,1
74229,,2,LOW,,2,1
74231,,2,LOW,,2,1
74232,,2,LOW,,2,1
74233,,2,LOW,,2,1
74234,,2,LOW,,2,1
74236,,2,LOW,,2,1
74238,,2,LOW,,2,1
74240,,2,LOW,,2,1
74251,,2,LOW,,2,1
74252,,2,LOW,,2,1
74253,,2,LOW,,2,1
74256,,2,LOW,,2,1
74257,,2,LOW,,2,1
74259,,2,LOW,,2,1
74260,,2,LOW,,2,1
74261,,2,LOW,,2,1
74262,,2,LOW,,2,1
74265,,2,LOW,,2,1
74266,,2,LOW,,2,1
74267,,2,LOW,,2,1
74268,,2,LOW,,2,1
74271,,2,LOW,,2,1
74275,,2,LOW,,2,1
74279,,2,LOW,,2,1
74280,,2,LOW,,2,1
74281,,2,LOW,,2,1
74282,,2,LOW,,2,1
74283,,2,LOW,,2,1
74285,,2,LOW,,2,1
74287,,2,LOW,,2,1
74288,,2,LOW,,2,1
74292,,2,LOW,,2,1
74294,,2,LOW,,2,1
74295,,2,LOW,,2,1
74296,,2,LOW,,2,1
74297,,2,LOW,,2,1
74299,,2,LOW,,2,1
74301,,2,LOW,,2,1
74302,,2,LOW,,2,1
74303,,2,LOW,,2,1
74305,,2,LOW,,2,1
74306,,2,LOW,,2,1
74308,,2,LOW,,2,1
74309,,2,LOW,,2,1
74313,,2,LOW,,2,1
74314,,2,LOW,,2,1
74316,,2,LOW,,2,1
74317,,2,LOW,,2,1
74318,,2,LOW,,2,1
74320,,2,LOW,,2,1
74321,,2,LOW,,2,1
74324,,2,LOW,,2,1
74325,,2,LOW,,2,1
74326,,2,LOW,,2,1
74327,,2,LOW,,2,1
74328,,2,LOW,,2,1
74329,,2,LOW,,2,1
74331,,2,LOW,,2,1
74332,,2,LOW,,2,1
74337,,2,LOW,,2,1
74339,,2,LOW,,2,1
74340,,2,LOW,,2,1
74343,,2,LOW,,2,1
74344,,2,LOW,,2,1
74345,,2,LOW,,2,1
74349,,2,LOW,,2,1
76146,,3,LOW,,3,1
109766,,3,LOW,,3,2
109779,,3,LOW,,3,1
109785,,3,LOW,,3,2
109841,,3,LOW,,3,2
109895,,3,LOW,,3,2
165643,,3,LOW,,3,2
165665,,3,LOW,,3,2
165686,,3,LOW,,3,2
165704,,3,LOW,,3,2
165721,,3,LOW,,3,2
165749,,3,LOW,,3,2
165761,,3,LOW,,3,2
165787,,3,LOW,,3,2
165806,,3,LOW,,3,2
165815,,3,LOW,,3,2
165823,,3,LOW,,3,2
188386,,3,LOW,,3,2
188452,,3,LOW,,3,2
188485,,3,LOW,,3,2
188505,,4,LOW,,4,1
188530,,3,LOW,,3,2
188563,,4,LOW,,4,1
188593,,3,LOW,,3,2
188633,,4,LOW,,4,1
203060,,3,LOW,,3,1
203062,,3,LOW,,3,1
203213,,3,LOW,,3,1
203221,,3,LOW,,3,1
203250,,3,LOW,,3,1
203288,,3,LOW,,3,1
203316,,3,LOW,,3,1
282461,,3,LOW,,3,1
282493,,3,LOW,,3,1
282564,,3,LOW,,3,1
282619,,3,LOW,,3,1
294964,,3,LOW,,3,1
295026,,3,LOW,,3,1
295067,,3,LOW,,3,1
319822,,3,LOW,,3,2
319828,,1,LOW,,1,1
319872,,1,LOW,,1,1
319878,,3,LOW,,3,2
319962,,3,LOW,,3,2
319973,,3,LOW,,3,2
319993,,3,LOW,,3,2
320007,,3,LOW,,3,2
320094,,3,LOW,,3,1
320174,,3,LOW,,3,2
320216,,3,LOW,,3,1
320229,,3,LOW,,3,2
320230,,3,LOW,,3,2
320283,,3,LOW,,3,2
320289,,3,LOW,,3,2
505034,,4,LOW,,4,1
521514,,2,LOW,,2,1
523196,,2,LOW,,2,1
523218,,2,LOW,,2,1
523223,,2,LOW,,2,1
525122,,3,LOW,,3,2
525134,,3,LOW,,3,2
525137,,1,LOW,,1,1
525144,,3,LOW,,3,2
525169,,3,LOW,,3,2
525178,,3,LOW,,3,2
525198,,3,LOW,,3,2
525200,,3,LOW,,3,2
527168,,2,LOW,,2,1
527212,,2,LOW,,2,1
527213,,2,LOW,,2,1
527225,,2,LOW,,2,1
527228,,2,LOW,,2,1
527330,,2,LOW,,2,1
528970,,2,LOW,,2,1
528971,,2,LOW,,2,1
528979,,2,LOW,,2,1
529024,,2,LOW,,2,1
529042,,2,LOW,,2,1
530739,,2,LOW,,2,1
530750,,2,LOW,,2,1
532775,,2,LOW,,2,1
532834,,2,LOW,,2,1
532851,,2,LOW,,2,1
532860,,2,LOW,,2,1
534653,,2,LOW,,2,1
534660,,2,LOW,,2,1
534681,,2,LOW,,2,1
534707,,2,LOW,,2,1
536941,,2,LOW,,2,1
536943,,2,LOW,,2,1
539666,,2,LOW,,2,1
539719,,2,LOW,,2,1
539763,,2,LOW,,2,1
539765,,2,LOW,,2,1
539878,,2,LOW,,2,1
539888,,2,LOW,,2,1
539942,,2,LOW,,2,1
539971,,2,LOW,,2,1
539992,,2,LOW,,2,1
542943,,2,LOW,,2,1
542961,,2,LOW,,2,1
543024,,2,LOW,,2,1
544461,,2,LOW,,2,1
546158,,2,LOW,,2,1
546189,,2,LOW,,2,1
546254,,2,LOW,,2,1
549443,,2,LOW,,2,1
550667,,2,LOW,,2,1
550758,,2,LOW,,2,1
552662,,2,LOW,,2,1
552877,,2,LOW,,2,1
557866,,2,LOW,,2,1
557975,,2,LOW,,2,1
557998,,2,LOW,,2,1
558030,,2,LOW,,2,1
579646,,3,LOW,,3,1
579690,,3,LOW,,3,1
618771,,1,LOW,,1,1
725009,,3,LOW,,3,2
725048,,3,LOW,,3,2
725052,,3,LOW,,3,2
725078,,3,LOW,,3,2
725098,,3,LOW,,3,2
725103,,3,LOW,,3,2
725104,,3,LOW,,3,2
725120,,3,LOW,,3,1
725132,,3,LOW,,3,2
725140,,3,LOW,,3,2
725161,,3,LOW,,3,2
725171,,3,LOW,,3,2
725190,,3,LOW,,3,2
725210,,3,LOW,,3,2
725216,,3,LOW,,3,2
984010,,1,LOW,,1,1
1061697,,3,LOW,,3,1
1061717,,3,LOW,,3,1
1061728,,3,LOW,,3,1
1061804,,3,LOW,,3,1
1061814,,1,LOW,,1,1
1061818,,3,LOW,,3,1
1188892,,3,LOW,,3,1
1188906,,3,LOW,,3,1
1188937,,3,LOW,,3,2
1188941,,3,LOW,,3,2
1188972,,3,LOW,,3,2
1189026,,3,LOW,,3,2
1189140,,3,LOW,,3,2
1189142,,3,LOW,,3,1
1189205,,4,LOW,,4,1
1189307,,3,LOW,,3,1
1189463,,3,LOW,,3,1
2029432,,4,LOW,,4,1
2029557,,4,LOW,,4,1
2029569,,4,LOW,,4,1
2048086,,3,LOW,,3,1
2058573,,3,LOW,,3,1
2161855,,2,LOW,,2,1
2161904,,2,LOW,,2,1
2163317,,2,LOW,,2,1
2163334,,2,LOW,,2,1
2164953,,2,LOW,,2,1
2164964,,2,LOW,,2,1
2164984,,2,LOW,,2,1
2165043,,2,LOW,,2,1
2166437,,2,LOW,,2,1
2166444,,2,LOW,,2,1
2166456,,2,LOW,,2,1
2166464,,2,LOW,,2,1
2166489,,2,LOW,,2,1
